analysis_group,method,axis_column,weighted_beta_variance,n_units,n_bins_used,n_unit_bin_values,variance_reduction_vs_raw,random_p05,random_p95,empirical_p_ge_crossfit
all,raw_frequency,frequency_cpd,0.5694184311155583,2648,24.0,63552.0,0.0,,,
all,same_segment_tau,de_same,0.4881446666025138,2648,24.0,40012.0,0.14273117987034523,,,
all,crossfit_tau,de_crossfit,0.47666740047513995,2648,24.0,41098.0,0.1628872996940196,,,
block_1,raw_frequency,frequency_cpd,0.5554781015126703,662,24.0,15888.0,0.0,,,
block_1,same_segment_tau,de_same,0.4643119014130864,662,24.0,10041.0,0.16412204162742206,,,
block_1,crossfit_tau,de_crossfit,0.44239415020536066,662,24.0,10245.0,0.2035794948520221,,,
block_2,raw_frequency,frequency_cpd,0.5358453588267277,662,24.0,15888.0,0.0,,,
block_2,same_segment_tau,de_same,0.4299236560247813,662,24.0,9905.0,0.19767214749021933,,,
block_2,crossfit_tau,de_crossfit,0.46594205746678813,662,24.0,10347.0,0.1304542443233957,,,
block_3,raw_frequency,frequency_cpd,0.5661040211139671,662,24.0,15888.0,0.0,,,
block_3,same_segment_tau,de_same,0.5042066156247184,662,24.0,9864.0,0.10933927896757978,,,
block_3,crossfit_tau,de_crossfit,0.4735012114088967,662,24.0,10268.0,0.16357914137908536,,,
block_4,raw_frequency,frequency_cpd,0.6199032741324947,662,24.0,15888.0,0.0,,,
block_4,same_segment_tau,de_same,0.5492201043108246,662,24.0,10225.0,0.11402290126727521,,,
block_4,crossfit_tau,de_crossfit,0.5257070486563525,662,24.0,10235.0,0.1519531020512228,,,
all,random_train_tau_summary,de_random,,2648,,,-0.2100991195944455,-0.22847238049477028,-0.19257708020501735,0.0033222591362126247
block_1,random_train_tau_summary,de_random,,662,,,-0.1980309103581691,-0.2297707188803309,-0.16498431881470552,0.0033222591362126247
block_2,random_train_tau_summary,de_random,,662,,,-0.24467850296661842,-0.28038506351447856,-0.21097668240285855,0.0033222591362126247
block_3,random_train_tau_summary,de_random,,662,,,-0.1933581479542894,-0.23211181281058446,-0.15653777181610545,0.0033222591362126247
block_4,random_train_tau_summary,de_random,,662,,,-0.21792380313277715,-0.25013980610905345,-0.17762566534267105,0.0033222591362126247
