config_id,nperseg,slope_window_decades,axis,weighted_beta_variance,n_units,n_bins_used,n_unit_bin_values
welch1024_slope0.7,1024,0.7,raw_frequency,0.48867869023028715,673,24.0,16152.0
welch1024_slope0.7,1024,0.7,de_normalized,0.38196804535542417,673,24.0,11391.0
welch1024_slope0.7,1024,0.7,variance_reduction,0.21836566031675364,673,,
welch1024_slope0.9,1024,0.9,raw_frequency,0.4646489937391741,673,24.0,16152.0
welch1024_slope0.9,1024,0.9,de_normalized,0.3452976677956691,673,24.0,11527.0
welch1024_slope0.9,1024,0.9,variance_reduction,0.25686341206304564,673,,
welch1024_slope1.1,1024,1.1,raw_frequency,0.44637060018229213,673,24.0,16152.0
welch1024_slope1.1,1024,1.1,de_normalized,0.3179167726059252,673,24.0,11629.0
welch1024_slope1.1,1024,1.1,variance_reduction,0.28777394282667357,673,,
welch128_slope0.7,128,0.7,raw_frequency,0.6065101368209542,673,23.0,15479.0
welch128_slope0.7,128,0.7,de_normalized,0.4930778131706688,673,24.0,8676.0
welch128_slope0.7,128,0.7,variance_reduction,0.18702461305073192,673,,
welch128_slope0.9,128,0.9,raw_frequency,0.5636304691513384,673,23.0,15479.0
welch128_slope0.9,128,0.9,de_normalized,0.4399664740033125,673,24.0,9065.0
welch128_slope0.9,128,0.9,variance_reduction,0.21940615689962162,673,,
welch128_slope1.1,128,1.1,raw_frequency,0.5311697517587581,673,22.0,14806.0
welch128_slope1.1,128,1.1,de_normalized,0.3968523172239454,673,24.0,9419.0
welch128_slope1.1,128,1.1,variance_reduction,0.2528710155088345,673,,
welch256_slope0.7,256,0.7,raw_frequency,0.5508241495087517,673,24.0,16152.0
welch256_slope0.7,256,0.7,de_normalized,0.4370572076522968,673,24.0,9927.0
welch256_slope0.7,256,0.7,variance_reduction,0.20653949533243432,673,,
welch256_slope0.9,256,0.9,raw_frequency,0.5153088770544795,673,24.0,16152.0
welch256_slope0.9,256,0.9,de_normalized,0.39323612199704616,673,24.0,10220.0
welch256_slope0.9,256,0.9,variance_reduction,0.23689239695462794,673,,
welch256_slope1.1,256,1.1,raw_frequency,0.48665856929243934,673,24.0,16152.0
welch256_slope1.1,256,1.1,de_normalized,0.35830361701110086,673,24.0,10481.0
welch256_slope1.1,256,1.1,variance_reduction,0.2637474409789101,673,,
welch512_slope0.7,512,0.7,raw_frequency,0.5099529083534923,673,24.0,16152.0
welch512_slope0.7,512,0.7,de_normalized,0.4066451847813903,673,24.0,10788.0
welch512_slope0.7,512,0.7,variance_reduction,0.2025828696725277,673,,
welch512_slope0.9,512,0.9,raw_frequency,0.4811286311332643,673,24.0,16152.0
welch512_slope0.9,512,0.9,de_normalized,0.365914754834883,673,24.0,11014.0
welch512_slope0.9,512,0.9,variance_reduction,0.23946584934470272,673,,
welch512_slope1.1,512,1.1,raw_frequency,0.45936199771538816,673,24.0,16152.0
welch512_slope1.1,512,1.1,de_normalized,0.3336510117913275,673,24.0,11210.0
welch512_slope1.1,512,1.1,variance_reduction,0.2736643138728876,673,,
