gauge_id,start_date_used,end_date_used,n_years,missing_fraction,zero_flow_fraction,tau_acf_days,n_beta_rows,median_beta_all,station_name,drainage_division,river_region,notes,lat_outlet,long_outlet,lat_centroid,long_centroid,map_zone,catchment_area,state_outlet,state_alt,daystart,daystart_P,daystart_Q,nested_status,next_station_ds,num_nested_within,start_date,end_date,prop_missing_data,q_uncert_unique_curves,q_uncert_rmse_all,q_uncert_rmse_lower,q_uncert_rmse_upper,q_uncert_days_above,q_uncert_Q_above,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,sig_mag_BaseMag,sig_mag_BFI,sig_mag_Q_7_day_max,sig_mag_Q_7_day_min,sig_mag_Q_CoV,sig_mag_Q_mean,sig_mag_Q_skew,sig_mag_Q_var,sig_mag_Q5,sig_mag_Q95,sig_mag_VarIdx,sig_freq_high_Q_freq,sig_freq_low_Q_freq,sig_freq_zero_Q_freq,sig_dur_RespTime,sig_dur_high_Q_dur,sig_dur_low_Q_dur,sig_dur_zero_Q_dur,sig_timing_HFD_mean,sig_timing_HFI_mean,sig_roc_AC1,sig_roc_AC1_low,sig_roc_BaseRecesK,sig_roc_FDC_slope,sig_roc_FlashIdx,sig_roc_RecesK_early,sig_roc_RecesVarSeasonality,sig_roc_RLD,sig_other_EventRR,sig_other_PeakDistribution,sig_other_PeakDistribution_low,sig_other_QP_elasticity,sig_other_RR_seasonality,sig_other_SnowDayRatio,sig_other_SnowStorage,sig_other_Spearmans_rho,sig_other_StorageFromBase,sig_other_TotalRR,sig_other_ratio_Event_TotalRR,geol_prim,geol_prim_prop,geol_sec,geol_sec_prop,unconsoldted,igneous,silicsed,carbnatesed,othersed,metamorph,sedvolc,oldrock,claya,clayb,sanda,solum_thickness,ksat,solpawhc,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement,lc01_extracti,lc03_waterbo,lc04_saltlak,lc05_irrcrop,lc06_irrpast,lc07_irrsuga,lc08_rfcropp,lc09_rfpastu,lc10_rfsugar,lc11_wetlands,lc14_tussclo,lc15_alpineg,lc16_openhum,lc18_opentus,lc19_shrbsca,lc24_shrbden,lc25_shrbope,lc31_forclos,lc32_foropen,lc33_woodope,lc34_woodspa,lc35_urbanar,prop_forested,nvis_grasses_n,nvis_grasses_e,nvis_forests_n,nvis_forests_e,nvis_shrubs_n,nvis_shrubs_e,nvis_woodlands_n,nvis_woodlands_e,nvis_bare_n,nvis_bare_e,nvis_nodata_n,nvis_nodata_e,distupdamw,impound_fac,flow_div_fac,leveebank_fac,infrastruc_fac,settlement_fac,extract_ind_fac,landuse_fac,catchment_di,flow_regime_di,river_di,pop_mean,pop_max,pop_gt_1,pop_gt_10,erosivity,anngro_mega,anngro_meso,anngro_micro,gromega_seas,gromeso_seas,gromicro_seas,npp_ann,npp_1,npp_2,npp_3,npp_4,npp_5,npp_6,npp_7,npp_8,npp_9,npp_10,npp_11,npp_12
912101A,1969-12-13,2014-12-31,45.05133470225873,0.006806441810999696,0.0,6.007321321348993,125,2.8662826150914773,Gregory River at Gregory Downs (912101A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes,-18.643611,139.253056,-19.30363825,138.5532101,54,12577.3,QLD,NT,1400,2300,2300,Not nested,,1,19691213,20141231,0.006806442,,,,,,,1.239927,4.968251,4.006889,1.277146,0.0,20.306149,1.694674,djf,309.940689,13.236084,jja,0.088548127,0.278888967,103.2685314,0.04410227,6.250492819,0.154611662,16.83953448,0.933927192,0.0133314,0.32573525,0.292867327,0.059597381,0.547329132,0.0,2,4.821782178,30.21959459,0.0,263.0294118,110.0882353,0.811334849,0.774424917,0.082341251,-1.916732852,0.484892161,0.154507924,2.538455941,0.427471117,0.042370201,-6.157808024,-2.18062251,1.823997607,0.676326266,0.0,36.92000949,-0.656519088,192.1315654,0.110230557,0.384378003,CARBNATESED,0.4328571,UNCONSOLDTED,0.3242219,0.3242219,0.00192532,0.22725,0.4328571,0.0,0.0137399,0.0,0.1679398,28.83052,44.27143,46.33117,0.858042069,79.17789,89.2282,70,431.7245,233.2221,361.7245,3.06,269.3436,0.66543,6,0.469806,0.467096,0.001383,0.3174,0.0249,0.1087,0.2296,0.0737,0.0697,0.0853,0.0628,0.0279,0.0,0.21,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,3e-05,0.0,0.00015,0.03416,0.0,0.13584,0.16111,0.23637,0.16403,0.0072,0.00015,0.00772,0.20666,0.04651,0.0,0.26104,28.06002,28.06002,0.0,0.0,0.0,0.0,71.93961,71.93961,0.0,0.0,0.0,0.0,269.3436,0.0,0.0,0,0.02033,0.01198,0.0,0.498007,0.081943,0.116348,0.099146,0.008558,8.257136,9.7e-05,0.0,2468.868,0.153716,0.046646,0.000296,111.4835,77.93024,256.5706,0.417364,0.061043,0.066953,0.079221,0.028471,0.03352,0.022459,0.016778,0.002405,0.004844,0.016939,0.035642,0.046875
912105A,1968-05-03,2014-12-31,46.66392881587954,0.09017836188688101,0.0,6.830219944025122,125,2.6249890149147785,Gregory River at Riversleigh No. 2 (912105A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes,-18.970833,138.803333,-19.33367169,138.5089111,54,11392.9,QLD,NT,1400,2300,2300,Level 1,912101A,0,19680503,20141231,0.090178362,,,,,,,1.227287,4.956468,4.038555,1.273827,0.0,20.351094,1.673319,djf,311.09128,13.377658,jja,0.071328,0.252596026,100.4040762,0.04624832,5.290338162,0.178819653,13.31769202,0.89494709,0.0144849,0.53530357,0.304693658,0.072612369,0.568323983,0.0,1,4.895652174,30.07849829,0.0,273.32,103.8,0.82708636,0.759899417,0.153446406,-1.795139059,0.469615591,0.226484525,2.851480579,0.45254602,0.059732538,-7.828136301,-1.254491016,1.580726181,0.728120351,0.0,36.88850246,-0.778926753,210.3210982,0.131529121,0.454139261,CARBNATESED,0.4827987,UNCONSOLDTED,0.3246572,0.3246572,0.00126402,0.1805216,0.4827987,0.0,0.01075708,0.0,0.1094568,30.0,21.0,40.0,0.899999569,80.55704,90.64217,118,431.7245,240.4782,313.7245,2.74,179.6501,0.646987,6,0.668421,0.386313,0.001735,0.3086,0.0226,0.1078,0.231,0.0724,0.0699,0.0905,0.0664,0.0308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.03615,0.0,0.14695,0.15955,0.24218,0.17369,0.0079,0.00012,0.00528,0.19401,0.03418,0.0,0.23359,29.51683,29.51683,0.0,0.0,0.0,0.0,70.483,70.483,0.0,0.0,0.0,0.0,179.6501,0.0,0.0,0,0.0,0.0,0.0,0.285714,0.081591,0.13273,0.107161,0.007364,0.016915,0.0,0.0,2413.231,0.15267,0.046707,0.000319,110.7757,76.67461,255.3918,0.399448,0.057827,0.063842,0.076032,0.027316,0.032327,0.021844,0.017243,0.002405,0.004755,0.016132,0.03341,0.044226
915011A,1971-09-23,2014-12-31,43.27446954140999,0.04175629507781855,0.4748448435230424,5.442868733135136,125,0.9805911091544427,Porcupine Creek at Mt Emu Plains (915011A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,No notes,-20.1775,144.524444,-20.05424539,144.4836408,55,565.3,QLD,,1400,2300,2300,Not nested,,0,19710923,20141231,0.041756295,,,,,,,1.932778,4.660008,2.411042,1.131418,0.0,21.879224,1.788391,djf,297.436991,11.308612,jja,0.122790626,0.10454471,109.7495047,0.0,7.023210755,0.167457336,26.65714671,1.383183364,0.0,0.47116045,1.08364625,0.304238743,0.858576522,0.474844844,1,21.43255814,50.99607843,51.0070922,283.7368421,33.05263158,0.606535384,0.389049161,0.261773682,,0.721981096,0.411288463,2.103760765,0.441297935,0.04031919,-10.09998228,-6.090787518,2.259663929,2.793575827,0.0,110.7870603,-0.943273729,351.2351455,0.079991119,0.504045824,IGNEOUS,0.8937055,UNCONSOLDTED,0.1054904,0.1054904,0.8937055,0.0008039,0.0,0.0,0.0,0.0,0.0,62.0,62.0,22.0,1.094928487,251.4098,143.9691,739,984.9511,839.4359,245.9511,2.64,40.95667,0.594576,4,0.648115,0.417739,0.006102,0.3331,0.0182,0.1305,0.2167,0.103,0.1314,0.0671,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065,0.06195,0.0,0.00025,0.43122,0.04065,0.00288,0.0001,0.0,0.01009,0.06023,0.39195,0.0,0.46227,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,40.95667,0.0,0.0,0,0.0,0.0,0.0,0.35,0.213224,0.000682,0.106953,0.006271,0.010079,0.0,0.0,3736.781,0.215409,0.225717,0.016665,110.1856,82.1946,191.9622,1.880438,0.238324,0.228048,0.228245,0.17823,0.192825,0.13706,0.123925,0.084574,0.037268,0.100204,0.153955,0.172525
915206A,1969-10-03,2022-02-28,52.407939767282684,0.06033852262041584,0.7373102796464113,3.449479446134458,125,1.1863270148873923,Dugald River at Railway Crossing (915206A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,No notes,-20.2013,140.2233,-20.42358179,140.0416589,54,657.4,QLD,,1400,2300,2300,Not nested,,0,19691003,20220228,0.060338523,25.0,25.17224396,6.506520348,20.95588825,0.078361718,19.01145866,1.358403,4.970518,3.65909,1.206204,0.0,19.317359,1.748576,djf,315.055429,14.405672,jja,0.047723259,0.042303578,264.8792874,0.0,9.222278993,0.241238081,23.44022755,4.949578788,0.0,0.49244887,1.009843405,0.26268972,0.888919775,0.73731028,1,22.18309859,45.03943662,61.11520737,293.9130435,34.7173913,0.590067503,0.395159485,0.30616124,,0.984826017,0.883970762,3.953278659,0.655857741,0.093730993,-6.242890774,-8.491229927,1.393050445,4.711411096,0.0,55.53810562,-0.934216886,252.1415811,0.15735089,0.595681361,METAMORPH,0.472541,IGNEOUS,0.3533884,0.1118337,0.3533884,0.0079796,0.05075237,0.00350549,0.472541,0.0,0.8812406,39.0,42.0,29.0,0.595819054,214.2022,101.862,173,509.055,278.6803,336.055,6.84,69.08601,0.87428,4,0.419807,0.331171,0.004986,0.4168,0.0451,0.1155,0.2064,0.0683,0.0772,0.0706,0.0001,0.0,0.0,0.63,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00023,0.0,0.16477,0.04818,0.33761,0.1586,0.00415,0.0,0.0,0.249,0.03722,0.0,0.28622,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,69.08601,0.0,0.0,0,0.04,0.0,0.0,0.35,0.113226,0.005979,0.059603,0.017094,0.017132,0.0,0.0,3469.507,0.141732,0.048155,0.00068,109.0004,58.29809,249.295,0.500046,0.073108,0.072524,0.092493,0.028148,0.043505,0.031944,0.029813,0.005992,0.007583,0.021992,0.03811,0.053127
917107A,1968-07-24,2022-02-28,53.60164271047228,0.045459188885483705,0.015571489726027397,16.05814152443789,125,1.2461683043539689,Elizabeth Creek at Mount Surprise (917107A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,No notes,-18.133611,144.306667,-18.15229785,144.5243501,55,458.3,QLD,,1400,2300,2300,Not nested,,0,19680724,20220228,0.045459189,16.0,53.38000875,1168.007627,21.19268047,0.132802125,12.28385936,2.031335,4.831321,2.378397,1.306233,0.0,22.059004,1.80044,djf,290.830077,11.550875,jja,0.197626537,0.281223815,198.9963744,0.0,4.917521251,0.292436463,13.24262659,2.068023814,0.00094261,1.0459245,0.641856199,0.105040668,0.637093322,0.01557149,1,9.046082949,46.69019608,13.22727273,277.625,103.0416667,0.743443271,0.694232832,0.112014287,-3.957062211,0.510391784,0.155748432,2.16034671,0.509462366,0.063902319,-8.886823044,-3.631162093,1.947222067,0.643322417,0.0,52.83308334,-0.757613039,326.5554115,0.138845441,0.460240674,IGNEOUS,0.7961738,UNCONSOLDTED,0.1731234,0.1731234,0.7961738,0.0,0.0,0.0,0.03070459,0.0,0.03070459,48.75504,51.01007,27.13539,1.04946749,250.5254,141.7174,438,986.696,628.3557,548.696,3.67,74.66057,0.433036,4,0.349442,0.365989,0.00757,0.3323,0.0301,0.1143,0.1898,0.1528,0.1511,0.0296,0.0,0.0,0.0,0.5,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01786,0.16311,0.0,0.0,0.08704,0.00138,4e-05,0.0,0.00213,0.08748,0.00314,0.63708,0.0,0.72983,6.722567,6.722567,0.0,0.0,0.0,0.0,93.27753,93.27753,0.0,0.0,0.0,0.0,74.66057,0.0,0.0,0,0.112281,0.022778,0.2,0.419284,0.151281,0.0,0.075641,0.022853,0.023263,0.0,0.0,4907.553,0.3285,0.314735,0.003021,101.2599,93.93559,219.2057,1.688538,0.237621,0.23829,0.255098,0.169087,0.163391,0.074736,0.064303,0.034086,0.014866,0.074019,0.154662,0.201448
919003A,1967-10-02,2022-02-28,54.41204654346338,0.040203280668209725,0.023905635648754916,9.777264936673598,125,2.5912117144655666,Mitchell River at O.K. Bridge (919003A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.471389,144.290556,-16.64669273,144.8787287,55,7731.7,QLD,,1400,2300,2300,Not nested,,1,19671002,20220228,0.040203281,27.0,12.31206397,24.6314108,7.193974767,0.241521586,12.03298711,2.582436,4.959326,1.920406,1.237015,0.0,19.892655,1.789006,djf,255.314541,8.062163,jja,0.61362182,0.241356286,275.1424019,0.0,3.931291343,0.663461182,10.37506083,6.803016052,0.00148624,3.03787348,0.739615959,0.172214941,0.68146789,0.023905636,1,10.36277603,42.20454545,24.0,302.1276596,83.57446809,0.862928015,0.798533244,0.102408148,-4.29410616,0.399040682,0.207890661,3.927333487,0.442968392,0.140222925,-8.501016037,-4.332532876,2.145037513,1.112753754,0.0,94.34519995,-0.892487217,263.5658896,0.246104575,0.569769681,SILICSED,0.6773531,IGNEOUS,0.1622877,0.1302454,0.1622877,0.6773531,0.0,0.01095173,0.0148498,0.00430911,0.0,21.0,21.0,52.0,0.558826291,60.71182,93.08261,183,1355.225,460.9828,1172.225,13.45,230.6201,1.006411,7,0.431006,0.242717,0.00512,0.602,0.0737,0.1225,0.1412,0.0279,0.0238,0.0089,0.0,0.0,0.0,1.0,0.0002,0.00301,0.0,0.00314,0.00056,0.0006,0.0,0.00501,0.0005,0.00923,0.18367,0.0,1e-05,0.06085,0.00132,1e-05,0.0,0.06796,0.15731,0.00144,0.5051,0.0,0.73181,0.477246,0.000716,7.713339,7.590923,0.0,0.0,91.80952,91.0239,0.0,0.0,0.0,0.000954,217.7138,0.0,0.0,0,0.0,0.04,0.0,0.05,0.0547,0.146411,0.100555,0.212678,90.06795,0.022441,0.000267,5939.918,0.357232,0.362611,0.00645,93.93499,84.44534,249.2184,2.096495,0.269591,0.263292,0.322416,0.227765,0.189666,0.104363,0.092505,0.063088,0.036525,0.098279,0.184531,0.238028
919005A,1968-09-03,2022-02-28,53.489390828199866,0.023954547781133234,0.006817347527400493,5.999647878619887,125,2.7429747306835153,Rifle Creek at Fonthill (919005A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.6788,145.2267,-16.6432749,145.3551352,55,366.7,QLD,,1400,2300,2300,Level 1,919003A,0,19680903,20220228,0.023954548,54.0,24.42979451,21.37489188,17.11196876,0.327583559,16.64235811,3.982216,4.852227,1.218474,1.020841,0.0,18.202723,1.681894,djf,240.069199,6.072533,jja,1.25848009,0.283806325,726.53774,0.0,3.938199295,1.584467287,10.9660154,38.93695044,0.04170045,6.43506256,0.498859788,0.096701453,0.520478263,0.006817348,1,8.159292035,45.11363636,65.0,271.7659574,122.2765957,0.822606553,0.771629437,0.074706478,-3.215926539,0.394482083,0.149597323,2.74726839,0.429045643,0.182307832,-7.691355676,-2.392895088,2.400567384,0.874460677,0.0,185.6870108,-0.838959608,308.6848986,0.382297727,0.476873964,SILICSED,0.6023172,IGNEOUS,0.1961595,0.1813438,0.1961595,0.6023172,0.0,0.0,0.02017819,0.0,0.0,18.0,59.0,69.0,1.164753752,157.5809,137.7491,362,1222.791,504.8795,860.791,15.83,50.79741,1.018125,4,0.428271,0.171521,0.017059,0.623,0.0664,0.1008,0.1233,0.0585,0.028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02115,0.00785,0.0093,0.0,0.09738,0.0114,0.00392,0.00569,0.0,0.0,0.0,0.0,0.0,0.0,0.54018,0.25757,0.0,0.04565,0.0,0.8434,1.309369,0.0,45.88939,43.4385,0.0,0.0,52.801,37.42162,0.0,0.0,0.0,0.019914,50.79741,0.0,0.0,0,0.13,0.001538,0.0,0.166505,0.132578,0.004592,0.068585,2.438649,90.06795,0.287422,0.004581,8166.467,0.436157,0.515362,0.009777,69.79687,51.44763,213.0263,5.231416,0.646066,0.560648,0.614701,0.530882,0.44664,0.332332,0.327889,0.248001,0.17614,0.256443,0.489627,0.591338
919201A,1967-12-13,2022-02-28,54.21492128678987,0.05211594788405212,0.18481619605753863,7.1273531117728135,125,1.3632611729545492,Palmer River at Goldfields (919201A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.108056,144.778611,-16.22892374,144.8755708,55,531.7,QLD,,1400,2300,2300,Not nested,,0,19671213,20220228,0.052115948,63.0,19.20513601,25.23589151,13.38461473,0.070699929,6.304259524,3.900257,4.778434,1.225159,0.986576,0.0,18.607228,1.730769,djf,221.632762,6.107506,jja,0.686976727,0.181951212,283.0124055,0.0,4.487661379,0.843016783,11.23541925,14.31240446,0.0,3.8572067,1.083995506,0.219872136,0.723388386,0.184816196,1,12.1026393,42.43125,33.67961165,304.6136364,55.02272727,0.671804339,0.509525033,0.185272226,-7.323914531,0.601305038,0.247922962,5.036482221,0.524250681,0.107416511,-9.501508093,-2.928918702,2.338332351,3.495131776,0.0,283.2546769,-0.906693875,410.2980643,0.211507778,0.507860809,SILICSED,0.4968523,IGNEOUS,0.3583342,0.01278951,0.3583342,0.4968523,0.0,0.0,0.1320254,0.0,0.0,21.0,21.0,52.0,0.57776053,85.17299,108.631,403,1346.675,711.9296,943.675,18.04,53.49488,1.02047,5,0.487923,0.333518,0.017803,0.7205,0.1017,0.1199,0.0579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00881,0.01047,0.0,0.0,0.00022,3e-05,0.0,0.0,0.0776,0.53212,0.0,0.3707,0.0,0.98042,0.090121,0.0,21.58366,21.58366,0.0,0.0,78.32636,78.31943,0.0,0.0,0.0,0.0,53.49488,0.0,0.0,0,0.3,0.1,0.0,0.2,0.032784,0.0,0.016392,0.021339,0.059233,0.0,0.0,8500.317,0.358873,0.5123,0.039457,80.90485,60.37398,184.38,2.737627,0.29534,0.279438,0.348864,0.314306,0.290487,0.169177,0.154435,0.099544,0.070632,0.156274,0.254977,0.299746
919309A,1967-09-11,2022-02-28,54.469541409993155,0.02839909525006283,0.2380755302638386,12.662867012676509,125,2.6212479674905875,Walsh River at Trimbles Crossing (919309A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes,-16.545278,143.784722,-17.06179876,144.597471,55,8656.4,QLD,,1400,2300,2300,Not nested,,0,19670911,20220228,0.028399095,24.0,112.686812,44.62721586,78.91945871,0.065343051,3.85598744,2.268204,5.009803,2.208709,1.359994,0.0,22.445531,1.747376,djf,277.391523,10.666782,jja,0.640970226,0.284845107,147.6966299,0.0,3.635293513,0.472321089,7.965597628,2.948177561,0.0,2.62563615,1.127305319,0.288101397,0.718727367,0.23807553,1,25.08558559,60.93421053,57.525,312.4186047,61.65116279,0.905883464,0.876764608,0.112471095,-11.70869336,0.339040968,0.195553413,7.52860876,0.477835724,0.103787099,-8.321521363,-4.01349482,2.032000472,1.464652195,0.0,57.81781002,-0.947554842,259.359246,0.196771882,0.527448829,IGNEOUS,0.532112,SILICSED,0.172999,0.1546762,0.532112,0.172999,0.0,0.08528595,0.05493099,0.0,0.05828544,20.09524,41.04762,66.76191,0.716232756,107.9887,104.8107,124,1290.396,442.6983,1166.396,9.97,317.3601,0.957482,6,0.331029,0.277062,0.003695,0.5212,0.056,0.1233,0.1843,0.0388,0.0304,0.0201,0.0259,0.0,0.0,0.0,0.0005,5e-05,0.0,0.00932,0.00061,0.0009,0.00033,0.00251,0.0,0.01096,0.17995,0.0,0.0,0.02699,0.00081,0.0,0.0,0.00798,0.20823,0.00661,0.54406,0.0001,0.76688,0.122779,0.0,2.393718,2.393718,0.0,0.0,97.48354,97.48057,0.0,0.0,0.0,0.0,294.373,0.0,0.0,0,0.077778,0.011268,0.0,0.05,0.064917,0.200487,0.132702,0.257625,153.6418,0.072673,0.000776,5770.325,0.354307,0.30714,0.003779,98.04852,92.52381,208.1701,1.661224,0.234062,0.233606,0.280475,0.184363,0.138512,0.073659,0.040842,0.028674,0.018846,0.074116,0.147665,0.199085
922101B,1967-10-02,2014-12-31,47.2498288843258,0.056321705875535984,0.1314012034876581,4.800461463033637,125,1.1997355249211183,Coen river at Racecourse (922101B),Carpentaria Coast,ARCHER-WATSON RIVERS,No notes,-13.956389,143.175,-13.88604845,143.2483399,54,171.2,QLD,,1400,2300,2300,Not nested,,0,19671002,20141231,0.056321706,,,,,,,3.615073,4.923291,1.361879,1.146501,0.0,22.589355,1.522108,djf,273.598165,8.970528,jja,2.33596939,0.337267793,423.1691005,0.0,3.419891521,1.87972117,11.33145822,41.32487287,0.0,8.45969626,0.816983355,0.177575832,0.591182611,0.131401203,1,11.16602317,44.78139535,27.08860759,285.6842105,148.8421053,0.672645112,0.610008879,0.114857207,-6.121075829,0.490651437,0.15904003,5.901274787,0.533613445,0.287103244,-7.223197623,-4.181675772,1.763943406,0.586893619,0.0,51.16318093,-0.893358743,365.25779,0.484161778,0.592990313,IGNEOUS,0.9059534,METAMORPH,0.0768085,0.0,0.9059534,0.0,0.0,0.01723836,0.0768085,0.0,0.0768085,18.0,54.0,68.0,1.015775632,96.57588,125.6003,185,796.7038,447.7018,611.7038,12.51,33.31773,1.056104,4,0.442585,0.430272,0.018386,0.6293,0.102,0.1492,0.1151,0.0042,0.0002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595,0.00789,0.0,0.0,0.0,0.0,0.0,0.0,0.61738,0.36693,0.0,0.00185,0.0,0.98616,0.0,0.0,54.13625,54.13625,0.0,0.0,45.86375,44.18397,0.0,0.0,0.0,0.0,33.31773,0.0,0.0,0,0.25,0.25,0.0,0.2875,0.12137,0.0,0.060685,1.458294,17.1331,0.084779,0.084779,10727.37,0.427746,0.384214,2.7e-05,84.42908,83.37831,160.9444,4.288608,0.72484,0.648887,0.716298,0.531903,0.242326,0.091202,0.064766,0.049808,0.027096,0.134257,0.370621,0.665301
