attribute,attribute_type,n,spearman_rho_logtau,p_value,partial_rank_rho_logtau,partial_p_value,q_value_bh,partial_q_value_bh
sig_mag_BFI,streamflow_derived,560,0.7983772725222795,5.058727761887511e-125,0.7571470253412799,2.890343045058131e-105,9.105709971397519e-124,5.202617481104636e-104
sig_roc_AC1,streamflow_derived,560,0.7042859329453037,4.5032360576827405e-85,0.602138627446425,1.527109215578776e-56,4.0529124519144666e-84,1.3743982940208984e-55
sig_roc_BaseRecesK,streamflow_derived,560,-0.5527214919143785,4.078979166996396e-46,-0.5345051665161106,1.0764081885192803e-42,2.4473875001978374e-45,6.458449131115682e-42
sig_other_StorageFromBase,streamflow_derived,560,0.4623430604962753,5.2525354929058116e-31,0.3696015338970196,1.4399290907712031e-19,2.363640971807615e-30,6.479680908470414e-19
ksat,independent_soil_proxy,560,0.3183829682354647,1.1701414836039014e-14,0.27278139097564547,5.179587995621992e-11,3.5104244508117044e-14,1.5538763986865977e-10
solpawhc,independent_soil_proxy,560,0.268246916043606,1.1015038437310862e-10,0.21141573884391945,4.441027156256899e-07,2.478383648394944e-10,1.141978411608917e-06
sanda,independent_soil_proxy,560,0.09915014389848056,0.018932200111642247,-0.0058004922574006025,0.8910630902648111,0.03097996381905095,0.8910630902648111
claya,independent_soil_proxy,560,-0.12723675255802128,0.0025570110147909793,0.007169369618070029,0.8655753564402106,0.004602619826623763,0.8910630902648111
clayb,independent_soil_proxy,560,-0.16991398409550865,5.3147248824411634e-05,-0.11806360534130712,0.005150904043882252,0.00010629449764882327,0.009271627278988054
unconsoldted,independent_geology_proxy,560,-0.02589762437713904,0.5408137854612114,-0.07709677463439435,0.06829123774272503,0.6489765425534537,0.10243685661408754
carbnatesed,independent_geology_proxy,560,-0.05021767295223771,0.23544054051152075,0.06642857826168361,0.11636642716856409,0.3027092663719552,0.1611227453103195
oldrock,independent_geology_proxy,560,-0.0027534285775374784,0.9481640125574979,-0.019313176563518563,0.6483507887705021,0.9481640125574979,0.7780209465246025
mrvbf_prop_7,independent_topographic_valley_proxy,560,0.009428743140785695,0.8238225697090968,0.08334879894387419,0.04867622880091535,0.8863717407117557,0.07965201076513422
mrvbf_prop_8,independent_topographic_valley_proxy,560,-0.008706095575201866,0.8371288662277693,0.12314299927159025,0.003514945391513259,0.8863717407117557,0.007029890783026519
aridity,hydroclimatic_covariate,560,-0.27759197027322885,2.2905198627512947e-11,-0.2983964052363506,5.575506749533335e-13,5.88990821850333e-11,2.0071824298320007e-12
zero_flow_fraction,streamflow_regime_boundary,560,-0.33459006840229866,4.0920070053610173e-16,-0.1952088267409745,3.2554292040091215e-06,1.4731225219299663e-15,7.324715709020523e-06
impound_fac,anthropogenic_boundary,560,0.08200392391055461,0.05244067158144762,-0.021016124778094687,0.6196998104678626,0.07866100737217142,0.7780209465246025
flow_regime_di,anthropogenic_boundary,560,0.0696267445671963,0.09976666196194299,-0.00856065958665138,0.8398125726694617,0.13813845502422875,0.8910630902648111
