stratum,n,median_reduction,positive_fraction,q25,q75,archive,stratifier
Q1 shortest,166,-1.7708545706100833,0.1746987951807229,-5.709239782955104,-0.24016803359559974,CAMELS-GB,tau quartile
Q2,166,-1.3911115352732142,0.21686746987951808,-3.9387191985241174,-0.13016907388149268,CAMELS-GB,tau quartile
Q3,166,-0.3745827844399241,0.19879518072289157,-0.9509978213252479,-0.02289201699969906,CAMELS-GB,tau quartile
Q4 longest,166,-1.4011986054717676,0.2710843373493976,-3.587782677746449,0.089650585038408,CAMELS-GB,tau quartile
Q1 lowest,179,-0.9967529677280911,0.22346368715083798,-3.178071693212999,-0.04376214460490424,CAMELS-GB,baseflow quartile
Q2,173,-1.420827595706617,0.14450867052023122,-4.435512040920143,-0.2877487392743636,CAMELS-GB,baseflow quartile
Q3,162,-0.5300829061597724,0.2716049382716049,-1.7328080158160355,0.03600584622226474,CAMELS-GB,baseflow quartile
Q4 highest,150,-1.2381620546286347,0.22666666666666666,-3.5557661116769106,-0.12537198409412365,CAMELS-GB,baseflow quartile
Q1 shortest,168,-1.7564300167545732,0.30952380952380953,-6.302113078892573,0.2423937229507515,CAMELS-US,tau quartile
Q2,168,-0.7427000943525666,0.3273809523809524,-2.8266066763657007,0.27362997164985603,CAMELS-US,tau quartile
Q3,167,-0.23399215476136126,0.3473053892215569,-0.7228541027316984,0.09075378884981672,CAMELS-US,tau quartile
Q4 longest,168,0.20135750362776555,0.5178571428571429,-2.194057371365836,0.7105958043737125,CAMELS-US,tau quartile
Q1 lowest,168,-0.40816734355670503,0.3869047619047619,-2.466716433735658,0.2894422802643113,CAMELS-US,baseflow quartile
Q2,167,-0.46904301468010234,0.3652694610778443,-3.4856039205611467,0.28951618401021884,CAMELS-US,baseflow quartile
Q3,167,-0.48832780892053096,0.3532934131736527,-2.5166329799625897,0.1808350145152608,CAMELS-US,baseflow quartile
Q4 highest,167,-0.3847733643504143,0.40119760479041916,-2.1110290183220464,0.5484069751665546,CAMELS-US,baseflow quartile
