gauge_id,n_models,rank_kendall_tau_nse_vs_beta,rank_kendall_p,best_nse_model,best_beta_model,best_nse_is_best_beta
10002,4,-0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
10003,5,0.6,0.23333333333333334,global_lstm,global_lstm,True
101002,5,-0.6,0.23333333333333334,global_lstm,seasonal_ar1_null,False
101005,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
102001,4,1.0,0.08333333333333333,global_lstm,global_lstm,True
106001,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
11001,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
11003,5,0.6,0.23333333333333334,global_lstm,rrmpg_hbvedu,False
11004,4,-0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,rrmpg_gr4j,False
12001,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
12002,5,-0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_gr4j,False
12005,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
12007,4,-0.3333333333333334,0.75,global_lstm,seasonal_climatology,False
12008,5,0.39999999999999997,0.48333333333333334,global_lstm,rrmpg_hbvedu,False
12009,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
13001,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
13004,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
13005,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
13007,4,0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_gr4j,False
13008,5,0.39999999999999997,0.48333333333333334,global_lstm,global_lstm,True
14001,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_gr4j,False
14002,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
14005,4,-0.6666666666666669,0.3333333333333333,global_lstm,seasonal_ar1_null,False
15006,5,-0.6,0.23333333333333334,rrmpg_hbvedu,seasonal_ar1_null,False
15007,5,-0.6,0.23333333333333334,rrmpg_hbvedu,seasonal_ar1_null,False
15010,5,0.39999999999999997,0.48333333333333334,global_lstm,rrmpg_hbvedu,False
15011,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
15012,4,0.0,1.0,rrmpg_gr4j,rrmpg_gr4j,True
15013,4,0.0,1.0,global_lstm,rrmpg_hbvedu,False
15014,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
15016,4,-0.3333333333333334,0.75,rrmpg_gr4j,seasonal_ar1_null,False
15021,4,0.3333333333333334,0.75,rrmpg_gr4j,rrmpg_hbvedu,False
15023,5,0.0,1.0,global_lstm,rrmpg_gr4j,False
15024,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
15025,5,0.39999999999999997,0.48333333333333334,global_lstm,rrmpg_gr4j,False
15030,5,-0.7999999999999999,0.08333333333333333,rrmpg_hbvedu,seasonal_climatology,False
16001,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
16004,5,0.0,1.0,rrmpg_gr4j,global_lstm,False
17001,4,0.0,1.0,global_lstm,seasonal_ar1_null,False
17003,5,0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
17004,5,0.0,1.0,global_lstm,rrmpg_gr4j,False
17005,4,-0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
17015,5,-0.19999999999999998,0.8166666666666667,rrmpg_gr4j,seasonal_ar1_null,False
17018,5,0.9999999999999999,0.016666666666666666,global_lstm,global_lstm,True
18001,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
18002,4,0.0,1.0,global_lstm,rrmpg_hbvedu,False
18003,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
18008,5,-0.9999999999999999,0.016666666666666666,rrmpg_hbvedu,seasonal_ar1_null,False
18010,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_ar1_null,False
18011,4,-1.0,0.08333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
18014,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
19006,5,0.0,1.0,global_lstm,seasonal_climatology,False
19010,5,-0.39999999999999997,0.48333333333333334,global_lstm,seasonal_climatology,False
19017,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
19020,4,-0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
20002,5,0.19999999999999998,0.8166666666666667,global_lstm,global_lstm,True
20003,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_gr4j,False
20007,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
21003,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
21006,5,0.19999999999999998,0.8166666666666667,global_lstm,seasonal_ar1_null,False
21008,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
21009,4,-0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_gr4j,False
21011,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
21012,4,0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_hbvedu,False
21013,4,-0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_gr4j,False
21015,4,0.0,1.0,global_lstm,rrmpg_hbvedu,False
21016,5,0.0,1.0,global_lstm,seasonal_climatology,False
21017,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
21018,4,0.0,1.0,global_lstm,rrmpg_hbvedu,False
21022,5,0.6,0.23333333333333334,global_lstm,rrmpg_gr4j,False
21023,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,seasonal_climatology,False
21024,4,1.0,0.08333333333333333,global_lstm,global_lstm,True
21026,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
21027,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
22001,5,0.0,1.0,global_lstm,seasonal_ar1_null,False
22006,4,-0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
22007,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_ar1_null,False
22009,4,-0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
23001,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
23004,4,0.0,1.0,global_lstm,global_lstm,True
23006,5,0.39999999999999997,0.48333333333333334,global_lstm,rrmpg_gr4j,False
23007,5,0.6,0.23333333333333334,global_lstm,global_lstm,True
23008,5,0.0,1.0,global_lstm,rrmpg_gr4j,False
23016,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
24001,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
24003,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_gr4j,False
24004,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
24005,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
25001,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
25006,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_gr4j,False
25020,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_hbvedu,False
26003,4,-0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
26005,5,0.6,0.23333333333333334,seasonal_ar1_null,seasonal_ar1_null,True
26006,4,0.0,1.0,rrmpg_gr4j,seasonal_ar1_null,False
26008,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
26009,5,0.19999999999999998,0.8166666666666667,seasonal_climatology,seasonal_ar1_null,False
27001,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
27002,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
27003,5,0.0,1.0,rrmpg_hbvedu,seasonal_climatology,False
27007,5,0.0,1.0,rrmpg_hbvedu,rrmpg_gr4j,False
27009,5,-0.6,0.23333333333333334,rrmpg_hbvedu,seasonal_ar1_null,False
27021,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
27023,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
27025,4,0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,rrmpg_hbvedu,True
27026,4,0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_gr4j,False
27029,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
27030,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_gr4j,False
27032,4,0.0,1.0,rrmpg_gr4j,rrmpg_gr4j,True
27034,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
27035,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
27038,4,0.3333333333333334,0.75,rrmpg_gr4j,rrmpg_gr4j,True
27041,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
27042,5,0.6,0.23333333333333334,global_lstm,global_lstm,True
27043,5,0.6,0.23333333333333334,global_lstm,global_lstm,True
27047,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
27049,4,0.0,1.0,global_lstm,rrmpg_gr4j,False
27051,5,0.9999999999999999,0.016666666666666666,global_lstm,global_lstm,True
27062,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,rrmpg_hbvedu,True
27064,5,0.7999999999999999,0.08333333333333333,rrmpg_hbvedu,rrmpg_hbvedu,True
27065,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
27071,5,-0.6,0.23333333333333334,rrmpg_hbvedu,seasonal_climatology,False
27073,4,1.0,0.08333333333333333,rrmpg_gr4j,rrmpg_gr4j,True
27077,5,0.9999999999999999,0.016666666666666666,rrmpg_hbvedu,rrmpg_hbvedu,True
27079,5,0.0,1.0,global_lstm,rrmpg_gr4j,False
27080,4,-0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
27084,4,-0.6666666666666669,0.3333333333333333,global_lstm,seasonal_ar1_null,False
27087,4,0.0,1.0,rrmpg_gr4j,rrmpg_hbvedu,False
27089,5,0.0,1.0,global_lstm,rrmpg_gr4j,False
27090,5,0.6,0.23333333333333334,global_lstm,global_lstm,True
28001,4,0.3333333333333334,0.75,rrmpg_gr4j,rrmpg_gr4j,True
28003,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
28008,4,0.0,1.0,rrmpg_hbvedu,global_lstm,False
28009,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
28012,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
28015,4,0.0,1.0,rrmpg_gr4j,rrmpg_hbvedu,False
28018,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
28022,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
28024,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
